id;description;produit;solution;etat;date_debut;date_fin;duree;ressource_id
1;Netherlands;services;Bac c;EnCours;2023-05-07;2023-05-07;57682;1
2;Bretagne Kwanza;Architecte;invoice attitude Intelligent;EnCours;2023-05-06;2023-05-06;41204;2
3;Suriname orchestration;program Computers;invoice;Planifier;2023-05-07;2023-05-07;67221;3
4;vertical networks;contingency task-force Realigned;Books budgetary;EnCours;2023-05-07;2023-05-07;75741;4
5;dominicaine Boétie;Granite;invoice frame Specialiste;Termine;2023-05-07;2023-05-07;8367;5
6;cross-platform de Consultant;value-added;Algérie Health c;Termine;2023-05-07;2023-05-07;36382;6
7;leading-edge a copy;Quetzal Saint-Vincent-et-les-Grenadines card;deposit;Termine;2023-05-07;2023-05-07;4093;7
8;Sports;compress payment;synthesizing Oro;Termine;2023-05-06;2023-05-07;57278;8
9;COM intranet Languedoc-Roussillon;streamline;Basse-Normandie 6th blue;Termine;2023-05-07;2023-05-07;86267;9
10;SSL Computers array;synthesize;EXE SQL;EnCours;2023-05-06;2023-05-07;59628;10
